State,Code,Name,Type,Visitors
PA,THKO,Thaddeus Kosciuszko National Memorial,National Memorial,2045.0
AK,YUCH,Yukon-Charley Rivers National Preserve,National Preserve,1393.0
TX,RIGR,Rio Grande Wild and Scenic River,Wild and Scenic River,694.0
CA,POCH,Port Chicago Naval Magazine National Memorial,National Memorial,533.0
AK,ANIA,Aniakchak National Monument,National Monument,19.0
AK,ANIA,Aniakchak National Preserve,National Preserve,19.0
DC,WAMO,Washington Monument,National Memorial,0.0
NC,BLRI,Blue Ridge Parkway,Parkway,15382447.0
CA,GOGA,Golden Gate National Recreation Area,National Recreation Area,14567487.0
NC,GRSM,Great Smoky Mountains National Park,National Park,9008830.0
NY,GATE,Gateway National Recreation Area,National Recreation Area,7697727.0
VA,GWMP,George Washington Memorial Parkway,National Parkway,7417397.0
NV,LAKE,Lake Mead National Recreation Area,National Recreation Area,6396682.0
DC,LINC,Lincoln Memorial,National Memorial,5971220.0
MS,NATR,Natchez Trace Parkway,Parkway,5765343.0
FL,GUIS,Gulf Islands National Seashore,National Seashore,5501872.0
PA,DEWA,Delaware Water Gap National Recreation Area,National Recreation Area,4986700.0
MA,CACO,Cape Cod National Seashore,National Seashore,4454771.0
AZ,GRCA,Grand Canyon National Park,National Park,4298178.0
CA,SAFR,San Francisco Maritime National Historical Park,National Historical Park,4224897.0
DC,VIVE,Vietnam Veterans Memorial,National Memorial,4020127.0
NY,CACL,Castle Clinton National Monument,National Monument,3985366.0
CA,YOSE,Yosemite National Park,National Park,3951393.0
DC,CHOH,Chesapeake and Ohio Canal National Historical Park,National Historical Park,3937504.0
DC,WWII,World War II Memorial,National Memorial,3752172.0
NY,STLI,Statue Of Liberty National Monument,National Monument,3749982.0
PA,INDE,Independence National Historical Park,National Historical Park,3572770.0
VA,COLO,Colonial National Historical Park,National Historical Park,3414577.0
WY,YELL,Yellowstone National Park,National Park,3394326.0
CO,ROMO,Rocky Mountain National Park,National Park,3176941.0
GA,CHAT,Chattahoochee River National Recreation Area,National Recreation Area,3161297.0
DC,KOWA,Korean War Veterans Memorial,National Memorial,3073430.0
WA,OLYM,Olympic National Park,National Park,2966502.0
UT,ZION,Zion National Park,National Park,2825505.0
WY,GRTE,Grand Teton National Park,National Park,2587437.0
MA,BOST,Boston National Historical Park,National Historical Park,2546156.0
ME,ACAD,Acadia National Park,National Park,2374645.0
DC,FRDE,Franklin Delano Roosevelt Memorial,National Memorial,2309708.0
UT,GLCA,Glen Canyon National Recreation Area,National Recreation Area,2270817.0
MO,JEFF,Jefferson National Expansion Memorial,National Memorial,2259020.0
OH,CUVA,Cuyahoga Valley National Park,National Park,2161185.0
CA,PORE,Point Reyes National Seashore,National Seashore,2129116.0
MD,ASIS,Assateague Island National Seashore,National Seashore,2105419.0
SD,MORU,Mount Rushmore National Memorial,National Memorial,2081722.0
DC,ROCR,Rock Creek Park,Park,2050490.0
NC,CAHA,Cape Hatteras National Seashore,National Seashore,1960711.0
DC,JEFM,Thomas Jefferson Memorial,National Memorial,1945696.0
MT,GLAC,Glacier National Park,National Park,1853564.0
IN,INDU,Indiana Dunes National Lakeshore,National Lakeshore,1840513.0
GA,KEMO,Kennesaw Mountain National Battlefield Park,National Battlefield Park,1748436.0
HI,VALR,World War II Valor in the Pacific National Monument,National Monument,1694896.0
WA,LARO,Lake Roosevelt National Recreation Area,National Recreation Area,1523474.0
DC,MLKM,"Martin Luther King, Jr., Memorial",Other Designation,1490358.0
TX,AMIS,Amistad National Recreation Area,National Recreation Area,1436759.0
AR,HOSP,Hot Springs National Park,National Park,1396354.0
CA,JOTR,Joshua Tree National Park,National Park,1396237.0
MO,OZAR,Ozark National Scenic Riverways,National Scenic Riverway,1365960.0
HI,HAVO,Hawai'i Volcanoes National Park,National Park,1352123.0
MI,SLBE,Sleeping Bear Dunes National Lakeshore,National Lakeshore,1348304.0
CA,FOPO,Fort Point National Historic Site,National Historic Site,1338508.0
PA,VAFO,Valley Forge National Historical Park,National Historical Park,1303046.0
UT,BRCA,Bryce Canyon National Park,National Park,1296000.0
PR,SAJU,San Juan National Historic Site,National Historic Site,1229590.0
OK,CHIC,Chickasaw National Recreation Area,National Recreation Area,1212139.0
VA,SHEN,Shenandoah National Park,National Park,1209883.0
AR,BUFF,Buffalo National River,National River,1169802.0
WY,JODR,"John D. Rockefeller, Jr., Memorial Parkway",National Parkway,1147986.0
PA,GETT,Gettysburg National Military Park,National Military Park,1124659.0
VA,NERI,New River Gorge National River,National River,1071088.0
UT,ARCH,Arches National Park,National Park,1040758.0
WA,MORA,Mount Rainier National Park,National Park,1038229.0
GA,CHCH,Chickamauga and Chattanooga National Military Park,National Military Park,1036699.0
FL,TIMU,Timucuan Ecological and Historic Preserve,Ecological and Historic Preserve,1028922.0
CA,SEQU,Sequoia National Park,National Park,1006583.0
FL,CANA,Canaveral National Seashore,National Seashore,1005001.0
MA,MIMA,Minute Man National Historical Park,National Historical Park,1002833.0
HI,HALE,Haleakala National Park,National Park,956989.0
CA,DEVA,Death Valley National Park,National Park,946867.0
FL,BICY,Big Cypress National Preserve,National Preserve,941393.0
FL,EVER,Everglades National Park,National Park,934351.0
CO,CURE,Curecanti National Recreation Area,National Recreation Area,924468.0
VA,FRSP,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,National Military Park,908836.0
CA,MUWO,Muir Woods National Monument,National Monument,897131.0
SD,BADL,Badlands National Park,National Park,870741.0
SC,FOSU,Fort Sumter National Monument,National Monument,857883.0
KY,CUGA,Cumberland Gap National Historical Park,National Historical Park,828947.0
AZ,CACH,Canyon de Chelly National Monument,National Monument,828145.0
CA,CABR,Cabrillo National Monument,National Monument,813351.0
LA,VICK,Vicksburg National Military Park,National Military Park,796035.0
AK,KLGO,Klondike Gold Rush National Historical Park,National Historical Park,795150.0
CA,WHIS,Whiskeytown-Shasta-Trinity National Recreation Area,National Recreation Area,761710.0
FL,CASA,Castillo de San Marcos National Monument,National Monument,741042.0
MA,SAMA,Salem Maritime National Historic Site,National Historic Site,737073.0
TX,LAMR,Lake Meredith National Recreation Area,National Recreation Area,734030.0
WA,ROLA,Ross Lake National Recreation Area,National Recreation Area,728353.0
WA,FOVA,Fort Vancouver National Historic Site,National Historic Site,710439.0
UT,CARE,Capitol Reef National Park,National Park,668834.0
GA,MALU,"Martin Luther King, Jr., National Historic Site",National Historic Site,666482.0
VA,MANA,Manassas National Battlefield Park,National Battlefield Park,659740.0
DC,FOTH,Ford's Theatre National Historic Site,National Historic Site,642786.0
MD,FOMC,Fort McHenry National Monument and Historic Shrine,National Monument,641254.0
AZ,PEFO,Petrified Forest National Park,National Park,614054.0
AZ,SAGU,Saguaro National Park,National Park,610045.0
CA,SAMO,Santa Monica Mountains National Recreation Area,National Recreation Area,609636.0
TN,BISO,Big South Fork National River and Recreation Area,National River and Recreation Area,606579.0
VA,ARHO,"Arlington House, The Robert E. Lee Memorial",National Memorial,576816.0
AZ,MOCA,Montezuma Castle National Monument,National Monument,573731.0
CO,MEVE,Mesa Verde National Park,National Park,572329.0
FL,FOMA,Fort Matanzas National Monument,National Monument,570695.0
DC,WHHO,White House,Other Designation,570057.0
TX,SAAN,San Antonio Missions National Historical Park,National Historical Park,568021.0
CA,KICA,Kings Canyon National Park,National Park,566810.0
ND,THRO,Theodore Roosevelt National Park,National Park,563407.0
MI,PIRO,Pictured Rocks National Lakeshore,National Lakeshore,561104.0
TX,PAIS,Padre Island National Seashore,National Seashore,542873.0
SD,WICA,Wind Cave National Park,National Park,538394.0
CA,MOJA,Mojave National Preserve,National Preserve,536006.0
MA,LOWE,Lowell National Historical Park,National Historical Park,520452.0
NY,FIIS,Fire Island National Seashore,National Seashore,519173.0
NC,CALO,Cape Lookout National Seashore,National Seashore,508116.0
UT,CEBR,Cedar Breaks National Monument,National Monument,493147.0
KY,MACA,Mammoth Cave National Park,National Park,483319.0
GU,WAPA,War in the Pacific National Historical Park,War in the Pacific,482391.0
FL,BISC,Biscayne National Park,National Park,476077.0
UT,CANY,Canyonlands National Park,National Park,473773.0
NC,WRBR,Wright Brothers National Memorial,National Memorial,445455.0
VI,VIIS,Virgin Islands National Park,National Park,442414.0
CO,COLM,Colorado National Monument,National Monument,435460.0
AK,GLBA,Glacier Bay National Park,National Park,431986.0
AK,GLBA,Glacier Bay National Preserve,National Preserve,431986.0
DC,WAMO,Washington Monument,National Memorial,430153.0
NM,WHSA,White Sands National Monument,National Monument,428924.0
HI,PUHO,Pu'uhonua o Honaunau National Historical Park,National Historical Park,426224.0
VA,WOTR,Wolf Trap National Park for the Performing Arts,National Park,425177.0
OR,CRLA,Crater Lake National Park,National Park,423551.0
LA,JELA,Jean Lafitte National Historical Park and Preserve,National Historical Park and Preserve,420366.0
MD,FOWA,Fort Washington Park,Other Designation,409381.0
GA,FOPU,Fort Pulaski National Monument,National Monument,408104.0
AK,DENA,Denali National Park,National Park,406582.0
AK,DENA,Denali National Preserve,National Park,406582.0
NY,GOIS,Governors Island National Monument,National Monument,402174.0
WY,DETO,Devils Tower National Monument,National Monument,395203.0
CA,PINN,Pinnacles National Park,National Park,393219.0
MS,SHIL,Shiloh National Battlefield,National Battlefield,387816.0
MD,ANTI,Antietam National Battlefield,National Battlefield,384987.0
CA,REDW,Redwood National Park,National Park,380167.0
MA,BOAF,Boston African American National Historic Site,National Historic Site,379906.0
VA,PRWI,Prince William Forest Park,Park,379535.0
NY,VAMA,Vanderbilt Mansion National Historic Site,National Historic Site,367680.0
NM,CAVE,Carlsbad Caverns National Park,National Park,365000.0
TX,BIBE,Big Bend National Park,National Park,361862.0
FL,DESO,De Soto National Memorial,National Memorial,355653.0
CA,LAVO,Lassen Volcanic National Park,National Park,351269.0
AK,KEFJ,Kenai Fjords National Park,National Park,346852.0
NC,GUCO,Guilford Courthouse National Military Park,National Military Park,346617.0
FL,FOCA,Fort Caroline National Memorial,National Memorial,326149.0
MT,LIBI,Little Bighorn Battlefield National Monument,National Monument,312168.0
IL,LIHO,Lincoln Home National Historic Site,National Historic Site,296214.0
GA,FOFR,Fort Frederica National Monument,National Monument,293041.0
WA,NEPE,Nez Perce National Historical Park,National Historical Park,286259.0
NC,FORA,Fort Raleigh National Historic Site,National Historic Site,282134.0
CO,GRSA,Great Sand Dunes National Park,National Park,280058.0
CO,GRSA,Great Sand Dunes National Preserve,National Preserve,280058.0
MD,PISC,Piscataway Park,Other Designation,279060.0
MA,NEBE,New Bedford Whaling National Historical Park,National Historical Park,273862.0
WI,SACN,Saint Croix National Scenic Riverway,National Scenic Riverway,273729.0
SC,KIMO,Kings Mountain National Military Park,National Military Park,272325.0
PA,UPDE,Upper Delaware Scenic and Recreational River,Scenic and Recreational River,270390.0
WA,SAJH,San Juan Island National Historical Park,National Historical Park,266717.0
PA,FLNI,Flight 93 National Memorial,National Memorial,265246.0
MD,CATO,Catoctin Mountain Park,Other Designation,264460.0
VA,APCO,Appomattox Court House National Historical Park,National Historical Park,258917.0
TN,FODO,Fort Donelson National Battlefield,National Battlefield,257389.0
WV,HAFE,Harpers Ferry National Historical Park,National Historical Park,255348.0
CA,CHIS,Channel Islands National Park,National Park,242756.0
DC,LYBA,Lyndon Baines Johnson Memorial Grove on the Potomac,National Memorial,239058.0
DC,PAAV,Pennsylvania Avenue National Historic Site,National Historic Site,236136.0
AL,LIRI,Little River Canyon National Preserve,National Preserve,225549.0
SC,COWP,Cowpens National Battlefield,National Battlefield,223923.0
NJ,MORR,Morristown National Historical Park,National Historical Park,222395.0
MA,ADAM,Adams National Historical Park,National Historical Park,219975.0
AZ,WUPA,Wupatki National Monument,National Monument,216165.0
CO,DINO,Dinosaur National Monument,National Monument,213559.0
VA,PETE,Petersburg National Battlefield,National Battlefield,213261.0
TN,OBRI,Obed Wild and Scenic River,Wild and Scenic River,212458.0
AZ,ORPI,Organ Pipe Cactus National Monument,National Monument,211405.0
MS,NATC,Natchez National Historical Park,National Historical Park,206624.0
WY,BICA,Bighorn Canyon National Recreation Area,National Recreation Area,201010.0
ID,CRMO,Craters of the Moon National Monument,National Monument,198545.0
NM,BAND,Bandelier National Monument,National Monument,193914.0
PA,FONE,Fort Necessity National Battlefield,National Battlefield,193479.0
MO,WICR,Wilson's Creek National Battlefield,National Battlefield,192865.0
WA,LEWI,Lewis and Clark National Historical Park,National Historical Park,191867.0
MD,GREE,Greenbelt Park,Other Designation,190427.0
TN,STRI,Stones River National Battlefield,National Battlefield,187208.0
NY,FEHA,Federal Hall National Memorial,National Memorial,187109.0
AK,SITK,Sitka National Historical Park,National Historical Park,186864.0
AZ,SUCR,Sunset Crater Volcano National Monument,National Monument,185265.0
SD,MNRR,Missouri National Recreation River,National Recreation River,179983.0
MN,VOYA,Voyageurs National Park,National Park,177184.0
WI,APIS,Apostle Islands National Lakeshore,National Lakeshore,176040.0
CO,BLCA,Black Canyon of the Gunnison National Park,National Park,168336.0
KY,ABLI,Abraham Lincoln Birthplace National Historical Park,National Historical Park,163568.0
HI,KAHO,Kaloko-Honokohau National Historical Park,National Historical Park,162906.0
